Q16239500,"Jennifer Evans","British actress"
Q16255748,"Julia Watson","British actress"
Q16258569,"Sarah Wesley","Welsh wife of Methodist Charles Wesley"
Q16318727,"Carl Sentance","British singer"
Q1631915,"Howard Spring","British writer"
Q16325363,"Frank Spiller Locke",
Q1634494,"Hugh Owen Thomas","Welsh surgeon"
Q1634625,"Hugh de Kevelioc, 5th Earl of Chester","English noble, born in Wales"
Q1637205,"Rachel Trezise","Welsh writer"
Q1639396,"Huw Warren","Welsh musician"
Q1655630,"Ian Simmonds","British musician"
Q1655632,"Ian Shaw","UK singer, pianist, songwriter, comedian"
Q16559378,"Edward Maes Llaned Owen",
Q16564560,"Ian Thomas","Welsh drummer"
Q1663616,"Roger Roberts, Baron Roberts of Llandudno","Life Peer (born 1935)"
Q16673230,"Madog Goch",
Q1670013,"Raymond FitzGerald","Cambro-Norman commander during the Norman invasion of Ireland"
Q16707733,"Harry Goodwin","Welsh cricketer (1870-1955)"
Q16728146,"Rachel K Collier","British singer"
Q16729677,"Tom Harrison","jazz musician"
Q16729774,"Rhiannon Henry","Paralympic swimmer"
Q16731199,"Kate Lambert","British model and fashion designer (born 1983)"
Q16731446,"Flex Lewis","Welsh bodybuilder"
Q16735285,"Beth Robert","Welsh actress"
Q16737332,"William Williams","Welsh poet and literary critic (""Caledfryn"")"
Q16737333,"John Williams","Welsh physician and naturalist"
Q16738650,"George Lawrence Davis","Christian missionary"
Q16743899,"Huw Jenkins","Welsh football chairman"
Q1680613,"James John Davies","American politician (1873-1947)"
Q1681343,"James of Saint George","French architect of the 13th century"
Q16822099,"Preston Austin","Welsh cricketer (1827-1908)"
Q16840644,"Marmaduke Gwynne","squire and early Methodist convert"
Q16844346,"Richard Myddelton","Welsh politician"
Q16845399,"Hugh Hughes","British painter"
Q16846411,"John Salusbury","Welsh landowner, county officer and Member of Parliament (? -1578)"
Q16849924,"John Wynne","Welsh Principal of Jesus College, Oxford and bishop"
Q16850823,"David Jones","Anglican Minister who was supportive of Welsh Calvinistic methodism"
Q1685695,"Jean McFarlane, Baroness McFarlane of Llandaff","British nurse, writer and life peer (1926-2012)"
Q16858267,"William Jenkins Rees","Welsh priest and antiquarian"
Q16859200,"John Waters","British Army officer"
Q16859745,"David Lloyd","Welsh biographer, born 1635"
Q16863488,"Ellis Price","Welsh administrator and politician"
Q16863901,"David Davies","Welsh actor, born 1906"
Q16937524,"Rosemary Dorothy Moravec","Austrian composer and writer"
Q16943702,"Laurence Bedford Potter","Canadian rancher"
Q16945196,"William Jenkyn Jones","Welsh writer and pastor (1852-1925)"
Q16973316,"David Williams","Welsh coal-owner in the Aberdare valley"
Q16979910,"Oliver Farr","professional golfer"
Q1700056,"John Ffowcs Williams","British engineer-scientist, researcher of numerical aeroacoustics (1935-2020)"
Q1700207,"John Gibson","Welsh sculptor (1790-1866)"
Q1701605,"John Rogers Thomas","Welsh-born American composer, singer, and music teacher"
Q1701635,"John Ryan","rugby union coach"
Q17020826,"Simon Williams","British cartoonist"
Q1706931,"Timothy Clement-Jones, Baron Clement-Jones","British politician (born 1949)"
Q1708763,"Thomas Samuel Humpidge","British chemist"
Q17141872,"Jennette Fothergill","Welsh writer"
Q171421,"Henry Morton Stanley","Welsh journalist and explorer (1841-1904)"
Q17159675,"Celyn Jones","British actor"
Q17198217,"John Bryan Evans","Welsh film and television director, writer, and producer. He is also a former soldier."
Q17198796,"Kevin Thomas","Welsh darts player"
Q17199130,"Tony Orchard","Inorganic chemist, photoelectron spectroscopist"
Q17307366,"Robert Hughes","Welsh poet"
Q17309161,"John Hughes","Welsh composer, born 1872"
Q17309163,"John Hughes","Welsh composer of hymn tunes, died 1932"
Q17318641,"Timothy Eglinton","Welsh scientist"
Q17353645,"Catherine Davies","Governess in Naples"
Q173689,"Shane Summers","British racing driver"
Q17377054,"St Curig","Welsh saint"
Q17385896,"Jeff Evans","Welsh cricket umpire"
Q17386578,"Gerwyn Price","Welsh professional darts player"
Q1738888,"Kenneth Morris","British writer"
Q17421625,"Lumley Jones","British general"
Q17427011,"Huw D. Edwards",
Q1743855,"Thomas Jones","Welsh landscape painter (1742-1803)"
Q17442758,"Rae Jenkins","orchestral conductor"
Q17449785,"Angel Romaeo","Welsh artistic gymnast"
Q17449824,"Raer Theaker","Welsh artistic gymnast"
Q17479540,"Cyngar ap Geraint","Welsh hermit; Cyngar of Llangefni"
Q17479557,Dogfan,"Welsh saint and martyr"
Q17479565,"Saint Edeyrn","Welsh saint"
Q17479587,Gwrddelw,"6c Welsh saint"
Q17479637,"Jack Austin","British author"
Q17492322,"Ashley Williams",boxer
Q1750774,"Roger Rees","Welsh-American actor"
Q17509334,"Saint Tyssil","6c Welsh saint"
Q1756405,"Alfred Lawrence, 1st Baron Trevethin","British Baron and Lord Chief Justice (1843-1936)"
Q1757629,"Tim Wright","Welsh video game music composer"
Q17578075,"Maria Leijerstam","British racing driver and athletics competitor"
Q1767904,"Twm o'r Nant","Welsh dramatist and poet"
Q1770803,"John Humphrys","British broadcaster, journalist and author"
Q1773997,"William Edwards","Welsh architect"
Q179374,"Robert Owen","Welsh social reformer (1771-1858)"
Q17984369,"Saint Aerdeyrn","Medieval Welsh saint"
Q1799438,"Michael Thomas","Welsh musician, songwriter, and drummer"
Q18016151,"Amelia Womack","British politician (born 1985)"
Q1801939,"Gary Taylor","British strength athlete"
Q1803014,"Sir Albert Gladstone, 5th Baronet","British rower and businessman"
Q18043654,"James Benjamin","Welsh rugby union player"
Q18044286,"Dorian Jones","Welsh rugby union player"
Q18044791,"Scott Matthews","Welsh rugby union player"
Q18045213,"Angus O'Brien","Welsh rugby union player"
Q18045430,"Rhys Pugsley","former rugby league player"
Q18062133,"Ashton Hewitt","Welsh rugby union player"
Q1807932,"Lauren Francis","British singer"
Q1808384,"Becky Brewerton","professional golfer"
Q18108230,"Caryl Parry Jones","British actor, singer and poet"
Q18114832,"Robert Williams","Welsh bard, born 1766"
Q1811580,"William Cowhig",gymnast
Q18129138,"Jim Williams","Welsh darts player"
Q18162727,"Mike Williams","British journalist, born 1979"
Q18200042,"Edward Pugh","Welsh painter and writer"
Q1820758,"Mark Lewis Jones","Welsh actor"
Q18217120,"Natalie Powell","Welsh judoka"
Q18221060,"Robert D. Anderson","British historian"
Q18223030,"John Callan James Metford","British university teacher (1916-2007)"
Q1822943,"Meg Wynn Owen","Welsh actress"
Q18325032,"Siôn Dafydd Rhys","Welsh scholar"
Q18327524,"William Ellis Jones","Welsh poet"
Q18330912,"Joe Cordina","British boxer"
Q18331849,"Nathan Thorley","British boxer"
Q18340098,"Leigh Jones","Welsh rugby coach"
Q18341833,"Kyle Rees","British actor"
Q18350944,"Aled Richards","British musician"
Q18352539,"Marc Wyatt","British lawn bowler"
Q18358867,"James Thomas","New Zealand priest"
Q18378038,"Arfon Jones","Welsh politician and North Wales Police Commissioner"
Q18385261,"Arnold Williams","New Zealand cricketer (1870-1929)"
Q18385698,"Jonathan Tomlinson","British lawn bowler"
Q18387151,"Paul Taylor","Welsh lawn bowler, born 1988"
Q18421529,"Huw Jones","Welsh singer and broadcaster"
Q1849841,"Rhydian Roberts","British singer and actor"
Q1849861,"Aled Jones","Welsh singer and TV presenter"
Q18509163,"William Charles Evans",biochemist
Q18526294,"Ada Vachell","Welsh worker for disabled people"
Q18526331,"Agnes Mason","British founder of the Community of the Holy Family"
Q18526437,"Alun Oldfield Davies","broadcaster and public servant"
Q18526693,"Cadell ab Arthfael","King of Gwent in Wales"
Q18526703,"Caradog ab Iestyn","Welsh landowner (died before 1175)"
Q18526704,"Caradog ap Rhydderch","Welsh prince"
Q18527363,Cyfeilliog,"Welsh bishop of Ergyng"
Q18527522,"David Chirbury","Welsh Carmelite, bishop of Dromore in Ireland"
Q18527541,"Roger Conway","Welsh Franciscan friar and theologian"
Q18527726,"Ruby Levick","Welsh sculptor (1871–1940)"
Q18527918,"Samuel Evans","drawing-master and watercolour painter"
Q18528756,"Enid Wyn Jones","Welsh religious and social worker"
Q18529229,"Mary Catherine Pendrill Llewelyn","Welsh writer and translator"
Q18530933,Uthred,"Bishop of Llandaff, Wales"
Q18530965,"Walter Churchey","Welsh poet"
Q18535410,"Aled Islwyn",
Q18535426,Abraham,"Bishop of St David's, Wales"
Q18535440,"Alistair James","comedian from Bangor, Wales"
Q18535445,"Dafydd Andrews","Welsh novelist"
Q18535453,"Aled ap Dafydd","Welsh journalist"
Q18535464,"R. G. Berry","Welsh Independent minister, author and playwright"
Q18535474,"Roger Boore","Welsh publisher and author"
Q18535489,"Siôn Cadwaladr","Poet from Meirionnydd"
Q18535497,"Toni Caroll","Welsh actor and singer"
Q18535501,Celynnin,"Welsh saint"
Q18535514,Clydog,saint
Q18535539,Cynhaiarn,"7th century Welsh saint"
Q18535540,"Cynwrig Hir","nobleman of Gwynedd"
Q18535553,"Siân Melangell Dafydd","Welsh poet"
Q18535561,"John Davies","Poet from south-east Wales"
Q18535564,"Eic Davies","Welsh teacher, dramatist and radio broadcaster"
Q18535569,"John Davies","Welsh engineer, poet and musician, born 1783"
Q18535572,"Rhisiart Morgan Davies","Welsh scientist and professor of physics"
Q18535589,"Saint Dyfnog","Welsh saint"
Q18535597,"Sonia Edwards","Welsh poet"
Q18535612,"Robert Evans","Welsh writer, poet and local historian"
Q18535617,"Meirion Evans","Archdruid of Wales"
Q18535625,"Heledd Fychan","Plaid Cymru politician"
Q18535635,"Beti George","Welsh broadcaster"
Q18535647,"Gruffudd ap Dafydd Goch",1288-1309
Q18535652,"Gruffudd de la Pole","Peerage person ID=568316"
Q18535657,"Ifan Gruffydd","Welsh author"
Q18535670,"Gwrgant ap Rhys","Welsh poet"
Q18535692,"Hywel Hughes","cattle rancher and Welsh nationalist"
Q18535697,"Huw Cae Llwyd","Welsh poet"
Q18535708,"Ieuan ap Huw Cae Llwyd","Welsh minor poet (fl. 1475-1500)"
Q18535727,"Rees Jones","Welsh poet"
Q18535735,"Abel Jones",
Q18535743,"Gerallt Jones","Welsh minister"
Q18535745,"Harri Pritchard Jones","Welsh writer"
Q18535747,"J. Tywi Jones","Welsh Baptist minister, journalist and playwright"
Q18535752,"John William Jones","Welsh author"
Q18535753,"Kenneth Glyn Jones","Welsh astronomer"
Q18535760,"Aneirin Karadog",
Q18535766,"Lewis ab Edward","Welsh poet"
Q18535772,"Huw Lewys","Welsh cleric and writer"
Q18535782,"Robert Lloyd","Welsh writer and critic, called ""Llwyd o'r Bryn"""
Q18535790,"Llywelyn Ddu ab y Pastard","Welsh poet of the 14th century"
Q18535799,"Mari'r Fantell Wen","Welsh religious leader"
Q18535819,"Lowri Morgan","Welsh television presenter and marathon runner"
Q18535821,"Dafydd Morris","Welsh hymn writer"
Q18535827,Mwrog,"5th-century Welsh saint"
Q18535858,"Gerallt Pennant",
Q18535866,"Arwel Gruffydd","Welsh actor and director"
Q18535875,"Dewi Prysor",
Q18535878,"John Phillips","Welsh Calvinistic Methodist minister; first principal of Bangor Normal College"
Q18535894,"Melville Richards","Welsh scholar"
Q18535895,"Robert Ifan","Welsh poet"
Q18535898,"Absalom Roberts","Welsh poet and collector of penillion telyn"
Q18535906,"Lleucu Roberts","Welsh-language children's author"
Q18535922,"Rhisiart o Gaer","Welsh military engineer"
Q18535925,Rhuddlad,"Welsh saint"
Q18535948,"Siôn Dafydd Las",
Q18535981,Tudwen,"Welsh female 5th century saint"
Q18536007,"Gareth F. Williams","British writer"
Q18536016,"William Morgan Williams","Welsh doctor and poet"
Q18536056,"Ben Bowen","Welsh poet"
Q18536058,Cadfarch,"6c saint from Wales"
Q18536061,"Griffith Evans","Welsh bacteriologist"
Q18546621,"John Roland Phillips","Welsh lawyer and antiquary"
Q18559723,"Edward Le Davis","Welsh engraver and art dealer"
Q18572211,"Alice Williams","voluntary welfare worker (1863–1957), editor"
Q18572258,"Anne Penny","English poet"
Q18576014,"Cuthbert Vaughan","Welsh soldier"
Q18576784,"Nest Bloet","Welsh princess and mistress of Henry II of England"
Q18576797,"Nun Morgan Harry","Welsh Independent minister"
Q18577122,"Tomas ab Ieuan ap Rhys","Welsh poet"
Q18588991,"Henry Stanhope Sloman","British general"
Q18593818,Aelhaearn,"Welsh saint, disciple of Beuno"
Q18601440,"Merlin James","British artist"
Q18603715,"Bedo Hafesb","Welsh poet"
Q18612371,"Judith Phillips","Welsh gerontologist"
Q18627269,"Tudor Owen","Welsh actor (1898-1979)"
Q18637292,"Joe Davies","Welsh rugby union player"
Q18637509,"Emily Kagan","Welsh-American mixed martial artist"
Q18641449,"Dick Hall","Australian rules footballer"
Q1866867,"Llin Golding, Baroness Golding","British politician (born 1933)"
Q18671898,"John Jones","Welsh biblical commentator"
Q18671990,"John Lloyd","Welsh musician"
Q18674052,"Julines Herring","Church of England clergyman and Reformed minister in the Netherlands"
Q18674355,"Rachel Barrett","Welsh suffragette and newspaper editor"
Q18683953,"Alize Lily Mounter","British model"
Q18691847,"Saint Ilar","Welsh 6th century saint"
Q18715771,"Enoch Jenkins","Sports shooter"
Q18715898,"William Davies","Sports shooter"
Q18716154,"David Griffiths","Sports shooter, born 1874"
Q18719690,"Mark James Elgar Coode","English botanist"
Q18729823,"Trystan Edwards","Welsh architectural critic and town planner"
Q18729849,"E. M. Bruce Vaughan","Welsh architect"
Q18730079,"Charles Morgan","Welsh army officer"
Q18730245,"Efa ferch Maredudd","Welsh noblewoman (fl. 1300), daughter of Maredudd ab Owain"
Q18733351,Meurig,"Welsh-language poet"
Q18733444,"Mordaf Hael","Welsh dynast (fl. c.550–c.575)"
Q18734168,"Rice Merrick","Welsh landowner and antiquary (c.1520–1587)"
Q18737198,"Mair Russell-Jones","British codebreaker"
Q18756580,"Alice Jones","Welsh writer, journal editor, temperance leader (1852–1943)"
Q18756688,"Emma Maitland","Maitland [née Rees], Emma Knox (1844–1923), suffragist and educationist"
Q18756845,"John Oliver","Welsh-language poet"
Q18762129,"William Price","Welsh Member of Parliament"
Q18763709,"Peter Davies","Welsh rugby union footballer and administrator, and rugby league footballer"
Q18763900,"Kieran Bull","Welsh cricketer"
Q18764018,"Aneurin Donald","Welsh cricketer"
Q18764183,"Phil Rogers","Welsh potter"
Q18783770,"John Rhydderch","Welsh printer and poet"
Q18783918,"Richard Rice","Welsh abbot of Aberconwy and translator"
Q18810592,Anian,"Dominican friar and bishop of St Asaph"
Q18810707,"Ernest Tristram","Welsh painter and art historian"
Q18811029,"Lucy Thomas","Welsh colliery owner (1781-1847)"
Q18811222,"Rose Davies","Welsh political activist"
Q1886336,"Ben Johnson","British painter known for cityscapes"
Q1886591,"Mal Ryder","British singer"
Q18879165,"John Thomas","Welsh Independent minister, politician, and historian (1821–1892)"
Q18880149,"Noah Thomas","Welsh physician"
Q18880154,"Owen Thomas","Welsh Calvinistic Methodist minister and author (1812–1891)"
Q18880332,"Watkyn Vaughan","Welsh gentry, died 1456"
Q1889720,Cadoc,"5th-6th century Abbot originating in Wales"
Q18910300,"Edith Sophia Hooper","English suffragist"
Q18910435,"Edward Edwards",(1870–1944)
Q18913337,"John William Watson Stephens","Stephens, John William Watson (1865–1946), parasitologist and expert on tropical diseases"
Q18914801,"Alis Wen","Welsh poet"
Q18914804,"Gwen ferch Ellis","first woman on record tried for witchcraft in Wales"
Q18920464,"Roscoe Howells","Welsh writer"
Q18922225,"Evan Evans","Welsh coach tour operator and local politician"
Q1894812,"Margaret Delacourt-Smith, Baroness Delacourt-Smith of Alteryn","life peer (1916-2010)"
Q18954619,"Thomas Vaughan","Welsh Yorkist, died circa 1493"
Q18962084,"William Ick","Welsh botanist and geologist (1800-1844)"
Q1900455,"Mark Thomas","British composer"
Q19042104,"Ivor Broom","Royal Air Force officer"
Q1904830,"Martin Roberts","Welsh rugby union player"
Q1905135,"Martin Thomas, Baron Thomas of Gresford","British politician (born 1937)"
Q191023,"Dylan Thomas","Welsh poet and writer"
Q1914627,"Richie Burnett","British darts player"
Q1918215,"M. J. Trow","Crime writer and historian"
Q19202498,"Bob Shaw","British hurdler"
Q1921937,"Merlyn Oliver Evans","British painter (1910-1973)"
Q19324995,"Amy Bulley","English promoter of women's education and women's trade unionism"
Q19325211,"Richard Hughes","Welsh poet and courtier (c. 1565–1619)"
Q19325414,"Rosina Davies","Welsh evangelist"
Q19325528,"Thomas ap Roger Vaughan","Welsh gentry (c.1400–1469)"
Q19325687,"Thomas Williams","Minister of the Presbyterian Church of Wales"
Q19325865,"Gruffudd ap Maredudd","Welsh nobleman (died in or before 1319)"
Q19326557,"Samuel Evans","Welsh topographical draughtsman"
Q1933591,"Mike Zaworotko","British chemist"
Q19360550,"John D. Jones",politician
Q19360836,"Roger Cecil","Welsh painter"
Q19364441,"Gwynne Edwards","Welsh violist"
Q19368760,"William Davies","Welsh sculptor (Mynorydd)"
Q19396015,"Paul Brown","Welsh costume designer and scenographer"
Q19397,"Alun Michael","Welsh politician (born 1943)"
Q19407331,"Maureen Guy","opera singer"
Q1950162,"Stuart Manley","professional golfer"
Q19518803,"Bethan Witcomb","Welsh actress"
Q19519831,"Max Clark","Welsh-English rugby union footballer"
Q19560432,"Glyn England","British politician"
Q19560894,"Mary Jones","Welsh actress (1915-1990)"
Q19578254,"Liam Williams","Welsh boxer"
Q19585743,"Nigel Haworth","New Zealand academic and politician"
Q19594785,"Ray Williams","Welsh rugby union footballer, coach and administrator"
Q19599159,"John Jones","Welsh printer, publisher and poet"
Q19599359,"Thomas Rees","Welsh politician"
Q19600732,"Clydai ach Brychan","5c Welsh saint"
Q19605143,"Owen Thomas","agriculturist, soldier, and Member of Parliament"
Q19629034,"Simon Armstrong","British actor"
Q19630379,"Glynn Croudace","British crime writer"
Q19650365,"Frances Donovan","rugby player"
Q19661342,"Jeffery Rowthorn","Welsh retired Anglican bishop and hymnographer"
Q19662041,"Saint Austell","Welsh 6th C saint"
Q19664611,"Howel Gwyn","British politician"
Q19665598,"Alex Jeffries","Welsh rugby union player (1995-)"
